year,category,id,name,share
2021,chemistry,1002,Benjamin,2
2021,chemistry,1003,David,2
2021,economics,1007,David,2
2021,economics,1008,Joshua,4
2021,economics,1009,Guido,4
2021,literature,1004,Abdulrazak,1
2021,peace,1005,Maria,2
2021,peace,1006,Dmitry,2
2021,physics,999,Syukuro,4
2021,physics,1000,Klaus,4
2021,physics,1001,Giorgio,2
2021,medicine,997,David,2
2021,medicine,998,Ardem,2
2020,chemistry,991,Emmanuelle,2
2020,chemistry,992,Jennifer A.,2
2020,economics,995,Paul,2
2020,economics,996,Robert,2
2020,literature,993,Louise,1
2020,peace,994,World Food Programme,1
2020,physics,988,Roger,2
2020,physics,989,Reinhard,4
2020,physics,990,Andrea,4
2020,medicine,985,Harvey,3
2020,medicine,986,Michael,3
2020,medicine,987,Charles,3
2019,chemistry,976,John,3
2019,chemistry,977,M. Stanley,3
2019,chemistry,978,Akira,3
2019,economics,982,Abhijit,3
2019,economics,983,Esther,3
2019,economics,984,Michael,3
2019,literature,980,Peter,1
2019,peace,981,Abiy,1
2019,physics,973,James,2
2019,physics,974,Michel,4
2019,physics,975,Didier,4
2019,medicine,970,William,3
2019,medicine,971,Peter,3
2019,medicine,972,Gregg,3
2018,chemistry,963,Frances H.,2
2018,chemistry,964,George P.,4
2018,chemistry,965,Sir Gregory P.,4
2018,economics,968,William D.,2
2018,economics,969,Paul M.,2
2018,literature,979,Olga,1
2018,peace,966,Denis,2
2018,peace,967,Nadia,2
2018,physics,960,Arthur,2
2018,physics,961,Gérard,4
2018,physics,962,Donna,4
2018,medicine,958,James P.,2
2018,medicine,959,Tasuku,2
2017,chemistry,944,Jacques,3
2017,chemistry,945,Joachim,3
2017,chemistry,946,Richard,3
2017,economics,949,Richard H.,1
2017,literature,947,Kazuo,1
2017,peace,948,International Campaign to Abolish Nuclear Weapons,1
2017,physics,941,Rainer,2
2017,physics,942,Barry C.,4
2017,physics,943,Kip S.,4
2017,medicine,938,Jeffrey C.,3
2017,medicine,939,Michael,3
2017,medicine,940,Michael W.,3
2016,chemistry,931,Jean-Pierre,3
2016,chemistry,932,Sir J. Fraser,3
2016,chemistry,933,Bernard L.,3
2016,economics,935,Oliver,2
2016,economics,936,Bengt,2
2016,literature,937,Bob,1
2016,peace,934,Juan Manuel,1
2016,physics,928,David J.,2
2016,physics,929,F. Duncan M.,4
2016,physics,930,J. Michael,4
2016,medicine,927,Yoshinori,1
2015,chemistry,921,Tomas,3
2015,chemistry,922,Paul,3
2015,chemistry,923,Aziz,3
2015,economics,926,Angus,1
2015,literature,924,Svetlana,1
2015,peace,925,National Dialogue Quartet,1
2015,physics,919,Takaaki,2
2015,physics,920,Arthur B.,2
2015,medicine,916,William C.,4
2015,medicine,917,Satoshi,4
2015,medicine,918,Youyou,2
2014,chemistry,909,Eric,3
2014,chemistry,910,Stefan W.,3
2014,chemistry,911,William E.,3
2014,economics,915,Jean,1
2014,literature,912,Patrick,1
2014,peace,913,Kailash,2
2014,peace,914,Malala,2
2014,physics,906,Isamu,3
2014,physics,907,Hiroshi,3
2014,physics,908,Shuji,3
2014,medicine,903,John,2
2014,medicine,904,May-Britt,2
2014,medicine,904,May-Britt,4
2014,medicine,905,Edvard I.,4
2013,chemistry,889,Martin,3
2013,chemistry,890,Michael,3
2013,chemistry,891,Arieh,3
2013,economics,894,Eugene F.,3
2013,economics,895,Lars Peter,3
2013,economics,896,Robert J.,3
2013,literature,892,Alice,1
2013,peace,893,Organisation for the Prohibition of Chemical Weapons,1
2013,physics,887,François,2
2013,physics,888,Peter,2
2013,medicine,884,James E.,3
2013,medicine,885,Randy W.,3
2013,medicine,886,Thomas C.,3
